artist_id,name,type,album_name,descripcion,album_year,album_format,album_id,uri,albums,album_format_2,gender
2,Mr. James Barth & A.D.,vendor,Knockin' Boots Vol 1 And 2,no description,1998,CD,84883,https://www.discogs.com/artist/2-Mr-James-Barth-AD,https://api.discogs.com/artists/2/releases,CD,no description
2,Mr. James Barth & A.D.,vendor,Knockin' Boots (Vol 1 Of 2),no description,1998,varios,713737,https://www.discogs.com/artist/2-Mr-James-Barth-AD,https://api.discogs.com/artists/2/releases,undefined,no description
2,Mr. James Barth & A.D.,vendor,Knockin' Boots (Vol 2 Of 2),no description,1998,varios,713738,https://www.discogs.com/artist/2-Mr-James-Barth-AD,https://api.discogs.com/artists/2/releases,undefined,no description
2,Mr. James Barth & A.D.,artist,The Lords Of Svek Vol. 4,"electronic artist working out of stockholm, active since 1994.",1998,CD,5955,https://www.discogs.com/artist/2-Mr-James-Barth-AD,https://api.discogs.com/artists/2/releases,CD,electronic
2,Mr. James Barth & A.D.,vendor,The Button Down Mind Of Daniel Bell,no description,2000,varios,407163,https://www.discogs.com/artist/2-Mr-James-Barth-AD,https://api.discogs.com/artists/2/releases,undefined,no description
2,Mr. James Barth & A.D.,vendor,Seven Years Of Svek Collection One,no description,2003,CD,167072,https://www.discogs.com/artist/2-Mr-James-Barth-AD,https://api.discogs.com/artists/2/releases,CD,no description
2,Mr. James Barth & A.D.,vendor,4/4 : Volume I,no description,2010,"File, MP3, Comp, Mix",2295159,https://www.discogs.com/artist/2-Mr-James-Barth-AD,https://api.discogs.com/artists/2/releases,,no description
2,Mr. James Barth & A.D.,vendor,LWE Podcast 107,no description,2011,"File, MP3, Mixed, 320",3999196,https://www.discogs.com/artist/2-Mr-James-Barth-AD,https://api.discogs.com/artists/2/releases,,no description
2,Mr. James Barth & A.D.,vendor,Remastered,no description,2019,"27xFile, WAV, Comp, RM",24734435,https://www.discogs.com/artist/2-Mr-James-Barth-AD,https://api.discogs.com/artists/2/releases,,no description
2,Mr. James Barth & A.D.,vendor,The Button Down Mind Of Daniel Bell,no description,2000,varios,407163,https://www.discogs.com/artist/2-Mr-James-Barth-AD,https://api.discogs.com/artists/2/releases,undefined,no description
