artist_id,name,type,album_name,gender,album_year,album_id,album_format,album_format_2
8,Mood II Swing,artist,Hump Night / Have U Ever,house,1994,738979,varios,undefined
8,Mood II Swing,artist,Chronic EP,house,1994,206607,varios,undefined
8,Mood II Swing,artist,Free To Live E.P.,house,1995,46759,"12"", EP",Vinyl
8,Mood II Swing,artist,Call Me (Remixes),house,1995,264253,varios,undefined
8,Mood II Swing,artist,Take Me Baby,house,1995,256831,varios,undefined
8,Mood II Swing,artist,Incredible (Unreleased Mixes),house,1995,355443,varios,undefined
8,Mood II Swing,artist,Move Me,house,1995,216494,varios,undefined
8,Mood II Swing,artist,Music 4 Ya Ears,house,1996,1458254,varios,undefined
8,Mood II Swing,artist,Do It Your Way,house,1996,168592,varios,undefined
8,Mood II Swing,artist,Searchin',house,1996,168595,varios,undefined
8,Mood II Swing,artist,Let The Sunshine,house,1996,175296,varios,undefined
8,Mood II Swing,artist,I See You Dancing,house,1996,206307,varios,undefined
8,Mood II Swing,artist,All Night Long With...,house,1997,236965,CD,CD
8,Mood II Swing,artist,Searchin' / Freestyle,house,1997,7123990,CD,CD
8,Mood II Swing,artist,All Night Long With...,house,1997,20953639,"Cass, Comp, Promo",
8,Mood II Swing,artist,Nervous Tracks Volume 2/5,house,1999,180511,varios,undefined
8,Mood II Swing,artist,The Slippery Track,house,2000,191702,varios,undefined
8,Mood II Swing,artist,Can't Get Away From You / Be Right!,house,2003,192254,CD,CD
8,Mood II Swing,artist,Can't Get Away,house,2003,168599,varios,undefined
8,Mood II Swing,artist,Can't Get Away From You,house,2003,216497,varios,undefined
8,Mood II Swing,artist,The Slippery Track / C Lime Woman,house,2004,297031,"12""",Vinyl
8,Mood II Swing,artist,I Got Love,house,2004,9108,varios,undefined
8,Mood II Swing,artist,Closer / Too Close,house,2005,450332,"12""",Vinyl
8,Mood II Swing,artist,Magical Life,house,2005,901217,varios,undefined
8,Mood II Swing,artist,Passing Time,house,2007,168596,varios,undefined
8,Mood II Swing,artist,It's Gonna Work Out,house,2007,216498,varios,undefined
8,Mood II Swing,artist,Reach 4 You,house,2008,168593,varios,undefined
8,Mood II Swing,artist,'Core' 中心 /.1994\ : Sunlight In My Eyes,house,2010,2533455,"12"", S/Sided",Vinyl
8,Mood II Swing,artist,Closer / Your Soul On Mine (Spencer Parker Remixes),house,2012,4034454,"12""",Vinyl
8,Mood II Swing,artist,House Legends,house,2012,16334442,"18xFile, WAV, Comp",
8,Mood II Swing,artist,House Legends,house,2012,946282,varios,undefined
8,Mood II Swing,artist,'Core' 中心 /.1992\ : I Need Your Luv / Penetration,house,2013,4796158,"12""",Vinyl
8,Mood II Swing,artist,Critical / I Need Your Love,house,2013,6118811,"4xFile, WAV, RM",
8,Mood II Swing,artist,Closer / Holding On To Your Love (Acid Mondays Remixes),house,2015,7605491,"2xFile, MP3, 320",
8,Mood II Swing,artist,Storybook,house,2015,1019103,varios,undefined
8,Mood II Swing,artist,Run To Me EP,house,2015,261450,varios,undefined
8,Mood II Swing,artist,FACT Mix 534,house,2016,8060914,"File, MP3, Mixed, 320",
8,Mood II Swing,artist,Strictly Mood II Swing Album Sampler,house,2016,8241317,"12""",Vinyl
8,Mood II Swing,artist,Strictly Mood II Swing,house,2016,950785,varios,undefined
8,Mood II Swing,artist,Keep On Pushing Harder,house,2017,707856,varios,undefined
8,Mood II Swing,artist,Mood II Swing Compilation With Bonus Dj Live Mix By Manny Cuevas,house,2018,12176653,"11xFile, WAV, Comp, RM",
8,Mood II Swing,artist,Deep Rooted,house,2018,15127366,"30xFile, FLAC, Comp + File, FLAC, Mixed",
8,Mood II Swing,artist,Deep Rooted (Album Sampler),house,2018,15903039,"2xFile, WAV",
8,Mood II Swing,artist,Get Up,house,2019,2527738,varios,undefined
9,Care Company,vendor,Dolphins,no description,2001,347951,CD,CD
9,Care Company,vendor,Untitled,no description,2001,1992848,CD,CD
9,Care Company,vendor,Gain Again,no description,2001,654237,varios,undefined
9,Care Company,vendor,Untitled,no description,2001,794894,varios,undefined
9,Care Company,vendor,In The Flow,no description,2001,193487,varios,undefined
9,Care Company,vendor,Gothic Compilation Part XIV,no description,2001,572892,CD,CD
9,Care Company,vendor,Sonic Seducer Cold Hands Seduction Vol. XII,no description,2001,598762,CD,CD
9,Care Company,vendor,ZilloScope: New Signs & Sounds 04/01,no description,2001,2897620,CD,CD
9,Care Company,vendor,ZilloScope: New Signs & Sounds 09/01,no description,2001,4288162,CD,CD
9,Care Company,vendor,MotorMusic Promo CD Februar 2001,no description,2001,16806735,CD,CD
9,Care Company,vendor,ZilloScope: New Signs & Sounds 02/03,no description,2003,1096064,CD,CD
